"Timestamp","You're Currently On","Gender","Age","CGPA","How many hours do you spend on studying per week?"," How many courses are you currently enrolled in?","Do you participate in extracurricular activities?","If yes, how many hours per week?","Do you have a part-time job?","If yes, how many hours per week?","On a scale of 1–5, how would you rate your stress level this semester? (1 = Very Low, 5 = Very High)","On a scale of 1–5, how would you rate your anxiety level? (1 = No anxiety, 5 = Extreme anxiety)","On average, how many hours of sleep do you get per night?","On a scale of 1–10, how would you rate your overall sleep quality?"
"2025/12/01 10:02:25 PM GMT+6","3rd Year","Female","22","3.55","4","3","Yes","1","Yes","6","5","4","6","4"
"2025/12/01 10:04:57 PM GMT+6","3rd Year","Male","21","3.99","14","3","Yes","6","No","","2","2","8","8"
"2025/12/01 10:12:54 PM GMT+6","3rd Year","Male","24","4","2","4","No","","Yes","30","3","2","4","4"
"2025/12/01 10:21:51 PM GMT+6","3rd Year","Male","23","2.15","7","4","No","","No","","4","3","6","5"
"2025/12/01 10:24:15 PM GMT+6","3rd Year","Male","23","3.2","7","5","No","","No","","4","4","7","5"
"2025/12/01 10:27:02 PM GMT+6","3rd Year","Male","21","3.14","1","8","Yes","35","Yes","6","5","1","6","7"
"2025/12/01 10:36:22 PM GMT+6","3rd Year","Female","24","2.98","3 ","6","No","","Yes","6","4","5","5","6"
"2025/12/01 10:38:21 PM GMT+6","3rd Year","Male","23","3.18","40","10","No","","No","","5","4","6","7"
"2025/12/01 10:39:06 PM GMT+6","3rd Year","Male","23","3.60","10","3","No","","No","","3","4","4","3"
"2025/12/01 10:46:19 PM GMT+6","4th Year","Male","23","3.1416","7","4","Yes","27","No","","5","4","5","8"
"2025/12/01 10:52:57 PM GMT+6","3rd Year","Female","21","3.69","4","4","No","","Yes","8","4","5","5","6"
"2025/12/01 10:56:59 PM GMT+6","1st Year","Female","21","3.97","15 ","3","No","","No","","4","4","4","2"
"2025/12/01 11:04:28 PM GMT+6","3rd Year","Male","22","3.87","8","3","No","","Yes","35","4","4","6","7"
"2025/12/01 11:32:42 PM GMT+6","4th Year","Male","23","3.52","12","6","No","","No","","4","4","6","6"
"2025/12/02 5:04:31 AM GMT+6","4th Year","Male","23","3.75","20","5","Yes","4","Yes","40","5","3","8","7"
"2025/12/02 5:10:28 AM GMT+6","3rd Year","Male","23","2.66","2","4","No","","Yes","3","5","5","6","2"
"2025/12/02 8:17:50 AM GMT+6","3rd Year","Male","23","3.35","42","10","Yes","25","No","","4","2","6","9"
"2025/12/02 8:19:36 AM GMT+6","3rd Year","Male","23","3.35","42","10","Yes","25","No","","4","3","6","9"
"2025/12/02 4:39:14 PM GMT+6","3rd Year","Male","22","3.83","3","3","No","","No","","3","3","6","5"
"2025/12/02 5:25:10 PM GMT+6","4th Year","Male","23","3.73","20","5","Yes","10","Yes","5","4","5","6","7"
"2025/12/02 6:12:57 PM GMT+6","3rd Year","Female","21","3.84","16","3","No","","Yes","40 ","1","1","7","9"
"2025/12/02 6:19:05 PM GMT+6","3rd Year","Female","23","3.71","15","4","No","","No","","5","5","7","4"
"2025/12/02 6:20:37 PM GMT+6","2nd Year","Female","20","3.64","12","1","Yes","3","No","","4","4","8","9"
"2025/12/02 6:29:47 PM GMT+6","3rd Year","Male","23","3.22","6","8","Yes","5 ","No","","4","3","4","6"
"2025/12/02 6:34:20 PM GMT+6","3rd Year","Female","21","3.69","21","13","Yes","3","No","","5","2","7","8"
"2025/12/02 7:01:33 PM GMT+6","3rd Year","Male","23","3.11","4","3","No","","No","","4","5","6","6"
